Unnamed: 0,b_b_mm,h_b_mm,As_d,As_n,L_kr_m,q_ts_m,def,target
0,395,565,16,2,3.0,0.7,0.084,1
1,305,520,20,1,1.7999999999999998,2.35,0.144,1
11,365,525,18,1,5.4,0.59,0.391,1
14,255,505,20,2,3.9,2.19,0.341,1
18,475,440,16,1,4.2,1.44,0.87,1
20,305,355,12,2,4.5,1.21,0.938,1
21,420,370,14,1,3.3,1.23,0.714,1
47,250,400,12,1,0.8999999999999999,0.82,0.044,1
58,370,545,14,2,5.1,0.75,0.349,1
70,335,475,20,2,4.8,2.04,0.506,1
81,370,555,16,1,1.2,1.22,0.047,1
88,480,590,14,3,5.1,2.26,0.647,1
91,455,395,16,1,1.7999999999999998,1.63,0.203,1
96,315,360,16,2,2.7,1.41,0.228,1
108,420,530,18,2,4.2,0.86,0.173,1
112,200,535,18,3,2.7,2.3,0.137,1
121,290,545,20,2,4.8,2.16,0.463,1
122,185,540,12,2,2.4,0.93,0.133,1
129,200,415,20,3,0.8999999999999999,1.01,0.008,1
135,285,475,20,2,5.1,0.74,0.21,1
141,240,515,20,1,4.5,1.41,0.551,1
142,200,580,20,2,4.5,1.92,0.347,1
161,495,430,20,3,2.1,0.65,0.023,1
164,250,445,20,1,4.8,0.84,0.439,1
171,300,470,18,1,0.8999999999999999,1.75,0.036,1
182,340,380,16,3,3.3,2.24,0.346,1
185,340,405,16,3,2.7,0.52,0.05,1
187,385,430,18,2,2.4,1.29,0.107,1
198,385,420,16,3,2.7,1.22,0.112,1
199,365,485,18,3,3.0,1.15,0.09,1
214,310,365,18,3,3.6,1.42,0.226,1
217,350,405,18,3,5.1,1.77,0.493,1
220,435,445,18,2,3.0,1.37,0.171,1
221,235,510,18,2,4.5,1.04,0.259,1
222,390,480,18,2,2.4,1.01,0.074,1
223,160,475,20,3,4.8,1.37,0.265,1
224,325,355,18,2,4.2,1.38,0.443,1
232,405,600,20,1,1.2,2.47,0.057,1
244,475,430,12,3,2.7,1.37,0.207,1
257,190,355,20,3,3.3,1.46,0.19,1
261,330,600,16,1,3.0,0.65,0.145,1
263,330,495,20,1,3.9,1.69,0.512,1
273,180,545,14,2,1.7999999999999998,2.31,0.138,1
275,210,495,20,1,3.6,1.26,0.331,1
276,150,425,20,1,3.3,2.05,0.551,1
278,155,590,20,1,4.2,0.83,0.248,1
294,390,520,14,1,1.7999999999999998,1.26,0.152,1
313,160,470,20,2,4.5,2.34,0.558,1
314,185,470,14,3,5.1,0.93,0.359,1
318,190,420,16,3,3.6,1.03,0.179,1
322,175,450,14,2,2.4,2.36,0.309,1
325,180,585,20,3,5.4,2.45,0.449,1
328,390,590,18,1,3.3,1.21,0.264,1
341,265,495,16,1,3.9,0.61,0.283,1
347,285,550,18,3,5.1,0.71,0.141,1
349,245,575,12,3,4.8,1.39,0.496,1
354,445,450,14,1,2.4,1.59,0.396,1
357,380,430,18,3,5.1,0.96,0.247,1
368,425,550,18,2,5.4,2.43,0.777,1
375,270,380,14,2,1.2,2.47,0.095,1
376,395,415,18,1,3.0,0.69,0.182,1
382,450,505,20,1,1.7999999999999998,1.99,0.125,1
386,465,520,14,2,1.2,1.24,0.033,1
389,200,385,12,2,3.3,1.35,0.524,1
405,275,580,16,1,0.8999999999999999,1.89,0.039,1
407,260,385,20,3,1.5,2.0,0.045,1
409,455,475,18,2,5.7,0.96,0.401,1
411,270,420,20,3,6.0,2.03,0.648,1
413,215,535,16,1,1.7999999999999998,0.66,0.06,1
421,460,465,20,3,1.2,1.5,0.016,1
426,455,530,20,3,1.2,1.78,0.016,1
435,455,375,18,3,4.8,2.26,0.596,1
440,180,425,18,2,2.1,1.41,0.097,1
455,455,420,14,2,1.5,0.6,0.032,1
458,405,415,20,2,1.2,1.64,0.029,1
475,360,590,20,1,4.8,1.74,0.658,1
476,260,460,12,3,4.2,1.54,0.535,1
477,385,510,20,1,2.4,0.68,0.075,1
492,350,470,12,1,2.7,2.17,0.882,1
494,500,560,20,2,3.9,1.97,0.263,1
495,175,395,14,2,4.2,1.62,0.753,1
497,220,385,14,3,3.0,2.0,0.331,1
509,320,425,14,3,5.1,1.54,0.64,1
513,385,400,14,3,2.7,0.86,0.106,1
