Unnamed: 0,b_b_mm,h_b_mm,As_d,As_n,L_kr_m,q_ts_m,def,target,score,original_index
32574,475,385,18,2,1.2,1.5,0.035,1,inf,5929
21621,315,545,14,1,3.6,1.5,0.689,1,inf,3910
167845,475,540,16,3,4.2,1.5,0.249,1,inf,31021
189046,250,560,16,3,4.8,1.5,0.323,1,inf,34942
75782,225,455,20,3,3.3,1.5,0.135,1,inf,13888
6884,455,385,16,1,1.7999999999999998,1.5,0.192,1,inf,1230
21671,455,430,18,2,5.7,1.5,0.699,1,inf,3925
60266,395,560,20,2,2.7,1.5,0.097,1,inf,11026
123127,190,585,16,1,0.8999999999999999,1.5,0.031,1,inf,22771
46505,340,395,12,1,2.4,1.5,0.579,1,inf,8501
